key,details.Food and drink.category,details.Food and drink.names,details.Food and drink.reopen_dates,details.Houses of worship.category,details.Houses of worship.names,details.Houses of worship.reopen_dates,details.Industries.category,details.Industries.names,details.Industries.reopen_dates,details.Personal care.category,details.Personal care.names,details.Personal care.reopen_dates,details.Retail.category,details.Retail.names,details.Retail.reopen_dates,details.Outdoor and recreation.category,details.Outdoor and recreation.names,details.Outdoor and recreation.reopen_dates,details.Entertainment.category,details.Entertainment.reopen_dates,details.Entertainment.names,state_postal,stay_at_home.expires,stay_at_home.expires_display,stay_at_home.expires_today,stay_at_home.expiring_soon,stay_at_home.had_order,stay_at_home.has_expired,stay_at_home.name,stay_at_home.starts,stay_at_home.starts_display,reopen_dates_all.0
North Carolina,Food and drink,"[""Restaurant dining""]","[""5/22/2020""]",,,,,,,Personal care,"[""Salons, barbershops, tattoo parlors""]","[""5/22/2020""]",Retail,"[""Retail stores""]","[""5/8/2020""]",Outdoor and recreation,"[""Pools""]","[""5/22/2020""]",,,,NC,5/22/2020,May 22,false,false,true,true,Stay-at-home order,3/30/2020,March 30,5/8/2020
North Dakota,Food and drink,"[""Restaurant dining, bars""]","[""5/1/2020""]",,,,,,,Personal care,"[""Salons, tattoo parlors, massage therapy, etc.""]","[""5/1/2020""]",,,,Outdoor and recreation,"[""Gyms"",""Sports venues""]","[""5/1/2020"",""5/15/2020""]",Entertainment,"[""5/1/2020"",""5/15/2020""]","[""Movie theaters"",""Music and entertainment venues""]",ND,,,,,,,,,,5/1/2020
Ohio,Food and drink,"[""Dine-in restaurants and bars""]","[""5/21/2020""]",,,,Industries,"[""Manufacturing, distribution, construction"",""Offices""]","[""5/4/2020"",""5/4/2020""]",Personal care,"[""Salons, barbershops etc.""]","[""5/15/2020""]",Retail,"[""Retail stores""]","[""5/12/2020""]",Outdoor and recreation,"[""Campgrounds"",""Gyms, pools, and sports leagues"",""Bowling alleys, miniature golf and batting cages"",""Aquariums, zoos"",""Skating rinks, playgrounds, country clubs""]","[""5/21/2020"",""5/26/2020"",""6/1/2020"",""6/10/2020"",""6/10/2020""]",Entertainment,"[""6/10/2020""]","[""Movie theaters, museums, art galleries""]",OH,5/29/2020,May 29,false,false,true,true,Stay-at-home order,3/23/2020,March 23,5/12/2020
Oklahoma,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/1/2020"",""5/15/2020""]",Houses of worship,[],"[""5/1/2020""]",Industries,"[""Offices""]","[""5/1/2020""]",Personal care,"[""Salons, barbershops, spas, pet groomers, etc."",""Tattoo parlors""]","[""4/24/2020"",""5/1/2020""]",,,,Outdoor and recreation,"[""State parks"",""Gyms""]","[""4/24/2020"",""5/1/2020""]",Entertainment,"[""5/1/2020"",""5/15/2020""]","[""Movie theaters, sports venues, museums"",""Nightclubs""]",OK,,,,,,,,,,4/24/2020
Oregon,Food and drink,"[""Restaurant dining in some counties""]","[""5/15/2020""]",,,,Industries,"[""Offices in most counties""]","[""6/8/2020""]",Personal care,"[""Salons, barbershops in some counties""]","[""5/15/2020""]",Retail,"[""Retail stores""]","[""5/15/2020""]",Outdoor and recreation,"[""Some state parks, outdoor recreation facilities"",""Gyms in some counties"",""Pools in most counties""]","[""5/5/2020"",""5/15/2020"",""6/8/2020""]",Entertainment,"[""6/8/2020""]","[""Movie theaters, bowling alleys in most counties""]",OR,,,false,false,true,false,Stay-at-home order,3/23/2020,March 23,
Pennsylvania,Food and drink,"[""Restaurants and bars in most counties"",""Outdoor dining restaurants and bars""]","[""6/12/2020"",""6/5/2020""]",,,,,,,Personal care,"[""Hair salons, barbershops, spas in most counties""]","[""6/12/2020""]",Retail,"[""Retail stores""]","[""6/5/2020""]",Outdoor and recreation,"[""Golf courses, marinas, guided fishing trips, privately owned campgrounds"",""Gyms in most counties"",""Beaches"",""Outdoor sports"",""State parks"",""Public pools""]","[""5/1/2020"",""6/12/2020"",""6/6/2020"",""6/12/2020"",""6/12/2020"",""6/13/2020""]",Entertainment,"[""6/12/2020""]","[""Casinos, theaters, shopping malls in most counties""]",PA,6/4/2020,June 4,false,false,true,true,Stay-at-home order,4/1/2020,April 1,5/8/2020
Puerto Rico,Food and drink,"[""Restaurants""]","[""5/25/2020""]",Houses of worship,[],"[""6/16/2020""]",,,,Personal care,"[""Salons, barbershops"",""Pet grooming"",""Spas""]","[""5/25/2020"",""5/25/2020"",""6/16/2020""]",Retail,"[""Retail stores"",""Outdoor malls"",""Malls""]","[""5/25/2020"",""5/25/2020"",""6/8/2020""]",Outdoor and recreation,"[""Beaches"",""Beaches"",""Gyms""]","[""5/25/2020"",""6/16/2020"",""6/16/2020""]",Entertainment,"[""6/16/2020"",""6/16/2020""]","[""Museums, cinemas, autocinemas"",""Outdoor concerts and other open venues""]",PR,6/15/2020,June 15,false,false,true,true,Stay-at-home curfew,3/15/2020,March 15,5/25/2020
Rhode Island,Food and drink,"[""Restaurant dining""]","[""6/1/2020""]",Houses of worship,[],"[""5/30/2020""]",Industries,"[""Offices"",""Malls""]","[""5/9/2020"",""6/1/2020""]",Personal care,"[""Hair salons, barbershops"",""Nail salons, massage parlors, tattoo shops""]","[""5/9/2020"",""6/1/2020""]",Retail,"[""Retail stores""]","[""5/9/2020""]",Outdoor and recreation,"[""State parks"",""Beaches"",""Gyms"",""Casinos""]","[""5/9/2020"",""6/1/2020"",""6/1/2020"",""6/8/2020""]",,,,RI,5/8/2020,May 8,false,false,true,true,Stay-at-home order,3/28/2020,March 28,5/9/2020
South Carolina,Food and drink,"[""Restaurant dining""]","[""5/11/2020""]",,,,,,,Personal care,"[""Salons, barbershops, tattoo parlors etc.""]","[""5/18/2020""]",Retail,"[""Retail stores""]","[""4/20/2020""]",Outdoor and recreation,"[""Beaches, piers, docks, etc."",""Gyms"",""Pools""]","[""4/21/2020"",""5/18/2020"",""5/18/2020""]",,,,SC,5/4/2020,May 4,false,false,true,true,Stay-at-home order,4/7/2020,April 7,4/20/2020
South Dakota,,,,,,,,,,,,,,,,,,,,,,SD,,,,,,,,,,4/28/2020
Tennessee,Food and drink,"[""Restaurant dining in most counties""]","[""4/27/2020""]",,,,,,,Personal care,"[""Salons, barbershops, etc. in most counties""]","[""5/6/2020""]",Retail,"[""Retail stores in most counties""]","[""4/29/2020""]",Outdoor and recreation,"[""State parks"",""Gyms in most counties"",""Theaters, museums, amusement parks""]","[""4/24/2020"",""5/1/2020"",""5/22/2020""]",,,,TN,4/30/2020,April 30,false,false,true,true,Stay-at-home order,3/31/2020,March 31,
Texas,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/1/2020"",""5/22/2020""]",,,,Industries,"[""Offices, manufacturing""]","[""5/18/2020""]",Personal care,"[""Salons, barbershops, etc."",""Massage and personal care""]","[""5/8/2020"",""5/18/2020""]",Retail,"[""Retail stores, malls""]","[""5/1/2020""]",Outdoor and recreation,"[""State parks"",""Pools"",""Gyms"",""Natural caverns"",""Water parks"",""Zoos""]","[""4/20/2020"",""5/8/2020"",""5/18/2020"",""5/22/2020"",""5/29/2020"",""5/29/2020""]",Entertainment,"[""5/1/2020"",""5/22/2020"",""5/22/2020""]","[""Movie theaters, museums, libraries"",""Bowling alleys, bingo halls, skating rinks, rodeos"",""Aquariums""]",TX,4/30/2020,April 30,false,false,true,true,Stay-at-home order,4/2/2020,April 2,5/1/2020
Utah,Food and drink,"[""Restaurant dining""]","[""5/1/2020""]",,,,,,,Personal care,"[""Salons, personal care businesses""]","[""5/1/2020""]",,,,Outdoor and recreation,"[""Gyms"",""Pools""]","[""5/1/2020"",""5/27/2020""]",,,,UT,,,,,,,,,,5/1/2020
Vermont,Food and drink,"[""Restaurant dining""]","[""6/8/2020""]",,,,Industries,"[""Manufacturing, construction, distribution""]","[""4/27/2020""]",Personal care,"[""Hair salons and barbershops"",""Nail salons, spas, tattoo parlors""]","[""5/29/2020"",""6/1/2020""]",Retail,"[""Retail stores""]","[""5/18/2020""]",Outdoor and recreation,"[""State parks, golf courses, trails etc."",""Campgrounds"",""Gyms, fitness centers""]","[""5/7/2020"",""5/22/2020"",""6/1/2020""]",Entertainment,"[""6/1/2020""]","[""Museums, theaters, libraries""]",VT,5/15/2020,May 15,false,false,true,true,Stay-at-home order,3/25/2020,March 25,5/15/2020
Virginia,Food and drink,"[""Restaurants and bars""]","[""6/12/2020""]",Houses of worship,[],"[""5/28/2020""]",,,,Personal care,"[""Salons, barbershops, etc.""]","[""5/28/2020""]",Retail,"[""Retail stores""]","[""5/28/2020""]",Outdoor and recreation,"[""Campgrounds"",""Beaches"",""Gyms"",""Pools""]","[""5/28/2020"",""5/29/2020"",""6/12/2020"",""6/12/2020""]",Entertainment,"[""6/12/2020""]","[""Museums, zoos, aquariums, outdoor concerts""]",VA,6/10/2020,June 10,false,false,true,true,Stay-at-home order,3/30/2020,March 30,5/15/2020
Washington,Food and drink,"[""Restaurant dining in certain counties""]","[""5/11/2020""]",Houses of worship,"[""Drive-in religious services"",""Religious services in some counties""]","[""5/6/2020"",""5/27/2020""]",Industries,"[""Construction""]","[""5/15/2020""]",Personal care,"[""Hair salons, barbershops, tattoo parlors, etc.in some counties"",""Pet grooming in some counties""]","[""5/13/2020"",""5/18/2020""]",Retail,"[""Retail stores open to curbside pickup"",""In-store retail in some counties""]","[""5/5/2020"",""5/12/2020""]",Outdoor and recreation,"[""State parks, fishing, hunting, golf courses"",""Gyms in some counties""]","[""5/5/2020"",""5/19/2020""]",Entertainment,"[""6/11/2020""]","[""Casinos""]",WA,5/31/2020,May 31,false,false,true,true,Stay-at-home order,3/25/2020,March 25,6/1/2020
West Virginia,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/21/2020"",""5/26/2020""]",,,,,,,Personal care,"[""Salons, barbershops, pet groomers"",""Tanning salons"",""Massage parlors and spas""]","[""5/4/2020"",""5/21/2020"",""5/30/2020""]",Retail,"[""Retail stores"",""Malls""]","[""5/21/2020"",""5/21/2020""]",Outdoor and recreation,"[""Gyms, recreation centers"",""State parks, campgrounds"",""Museums, zoos"",""Pools"",""Casinos""]","[""5/18/2020"",""5/21/2020"",""5/26/2020"",""5/30/2020"",""6/5/2020""]",Entertainment,"[""5/30/2020""]","[""Bowling alleys, pool halls, roller rinks""]",WV,5/3/2020,May 3,false,false,true,true,Stay-at-home order,3/24/2020,March 24,5/4/2020
Wisconsin,,,,,,,,,,Personal care,"[""Pet groomers for curbside dropoff""]","[""4/29/2020""]",Retail,"[""Retail stores""]","[""5/11/2020""]",Outdoor and recreation,"[""Golf courses"",""State parks""]","[""4/24/2020"",""5/1/2020""]",,,,WI,5/13/2020,May 13,false,false,true,true,Stay-at-home order,3/25/2020,March 25,5/13/2020
Wyoming,Food and drink,"[""Restaurant dining""]","[""5/15/2020""]",,,,,,,Personal care,"[""Hair salons, barbershops, tattoo parlors, massage therapy, etc.""]","[""5/1/2020""]",,,,Outdoor and recreation,"[""Gyms"",""State parks""]","[""5/1/2020"",""5/18/2020""]",Entertainment,"[""5/15/2020""]","[""Movie theaters, entertaiment venues""]",WY,,,,,,,,,,5/1/2020
